ea_type,timestamp,session,symbol,source_file,action,trade_type,strategy,score,atr,price,sl,tp,reason,result,trade_id,profit,risk,r_multiple,raw
M5,2026.03.17 03:55:00,Asian,,20260325.log,SIGNAL_CHECK,SELL,RANGE(CT),0.0,3.67,5028.83,,,RANGE_PENALTY_REJECTION,SKIPPED,,,,,CQ	0	20:41:24.778	Core 1	2026.03.17 03:55:00   [GoldEA] [RANGE(CT)] SELL check: price=5028.83 atr=3.67 score=0 reason=RANGE_PENALTY_REJECTION
M5,2026.03.17 04:00:00,Asian,,20260325.log,SIGNAL_CHECK,BUY,RANGE,0.0,3.53,5027.51,,,RANGE_PENALTY_REJECTION,SKIPPED,,,,,CL	0	20:41:24.778	Core 1	2026.03.17 04:00:00   [GoldEA] [RANGE] BUY check: price=5027.51 atr=3.53 score=0 reason=RANGE_PENALTY_REJECTION
M5,2026.03.17 04:00:00,Asian,,20260325.log,SIGNAL_CHECK,SELL,RANGE(CT),0.0,3.53,5027.51,,,RANGE_PENALTY_REJECTION,SKIPPED,,,,,ER	0	20:41:24.778	Core 1	2026.03.17 04:00:00   [GoldEA] [RANGE(CT)] SELL check: price=5027.51 atr=3.53 score=0 reason=RANGE_PENALTY_REJECTION
M5,2026.03.17 04:05:00,Asian,,20260325.log,SIGNAL_CHECK,BUY,RANGE,0.0,3.38,5028.01,,,RANGE_PENALTY_REJECTION,SKIPPED,,,,,OP	0	20:41:24.778	Core 1	2026.03.17 04:05:00   [GoldEA] [RANGE] BUY check: price=5028.01 atr=3.38 score=0 reason=RANGE_PENALTY_REJECTION
M5,2026.03.17 04:05:00,Asian,,20260325.log,SIGNAL_CHECK,SELL,RANGE(CT),0.0,3.38,5028.01,,,RANGE_PENALTY_REJECTION,SKIPPED,,,,,IO	0	20:41:24.778	Core 1	2026.03.17 04:05:00   [GoldEA] [RANGE(CT)] SELL check: price=5028.01 atr=3.38 score=0 reason=RANGE_PENALTY_REJECTION
M5,2026.03.17 04:10:00,Asian,,20260325.log,SIGNAL_CHECK,BUY,RANGE,0.0,3.23,5029.89,,,RANGE_PENALTY_REJECTION,SKIPPED,,,,,DE	0	20:41:24.778	Core 1	2026.03.17 04:10:00   [GoldEA] [RANGE] BUY check: price=5029.89 atr=3.23 score=0 reason=RANGE_PENALTY_REJECTION
M5,2026.03.17 04:10:00,Asian,,20260325.log,SIGNAL_CHECK,SELL,RANGE(CT),0.0,3.23,5029.89,,,RANGE_PENALTY_REJECTION,SKIPPED,,,,,NH	0	20:41:24.778	Core 1	2026.03.17 04:10:00   [GoldEA] [RANGE(CT)] SELL check: price=5029.89 atr=3.23 score=0 reason=RANGE_PENALTY_REJECTION
M5,2026.03.17 04:15:00,Asian,,20260325.log,SIGNAL_CHECK,BUY,RANGE,0.0,3.09,5029.39,,,RANGE_PENALTY_REJECTION,SKIPPED,,,,,DF	0	20:41:24.778	Core 1	2026.03.17 04:15:00   [GoldEA] [RANGE] BUY check: price=5029.39 atr=3.09 score=0 reason=RANGE_PENALTY_REJECTION
M5,2026.03.17 04:15:00,Asian,,20260325.log,SIGNAL_CHECK,SELL,RANGE(CT),0.0,3.09,5029.39,,,RANGE_PENALTY_REJECTION,SKIPPED,,,,,FE	0	20:41:24.778	Core 1	2026.03.17 04:15:00   [GoldEA] [RANGE(CT)] SELL check: price=5029.39 atr=3.09 score=0 reason=RANGE_PENALTY_REJECTION
M5,2026.03.17 04:20:00,Asian,,20260325.log,SIGNAL_CHECK,BUY,RANGE,0.0,3.06,5027.84,,,RANGE_PENALTY_REJECTION,SKIPPED,,,,,EK	0	20:41:24.778	Core 1	2026.03.17 04:20:00   [GoldEA] [RANGE] BUY check: price=5027.84 atr=3.06 score=0 reason=RANGE_PENALTY_REJECTION
